,Year,Month,pagecount_mobile_views,pagecount_desktop_views,pagecount_all_views,pageview_mobile_views,pageview_desktop_views,pageview_all_views
22,2008,01,0.000000,4930902570.000000,4930902570.000000,0.000000,0.000000,0.000000
23,2008,02,0.000000,4818393763.000000,4818393763.000000,0.000000,0.000000,0.000000
24,2008,03,0.000000,4955405809.000000,4955405809.000000,0.000000,0.000000,0.000000
25,2008,04,0.000000,5159162183.000000,5159162183.000000,0.000000,0.000000,0.000000
26,2008,05,0.000000,5584691092.000000,5584691092.000000,0.000000,0.000000,0.000000
27,2008,06,0.000000,5712104279.000000,5712104279.000000,0.000000,0.000000,0.000000
28,2008,07,0.000000,5306302874.000000,5306302874.000000,0.000000,0.000000,0.000000
29,2008,08,0.000000,5140155519.000000,5140155519.000000,0.000000,0.000000,0.000000
30,2008,09,0.000000,5479533823.000000,5479533823.000000,0.000000,0.000000,0.000000
31,2008,10,0.000000,5679440782.000000,5679440782.000000,0.000000,0.000000,0.000000
32,2008,11,0.000000,5415832071.000000,5415832071.000000,0.000000,0.000000,0.000000
33,2008,12,0.000000,5211708451.000000,5211708451.000000,0.000000,0.000000,0.000000
34,2009,01,0.000000,5802681551.000000,5802681551.000000,0.000000,0.000000,0.000000
35,2009,02,0.000000,5547320860.000000,5547320860.000000,0.000000,0.000000,0.000000
36,2009,03,0.000000,6295159057.000000,6295159057.000000,0.000000,0.000000,0.000000
37,2009,04,0.000000,5988817321.000000,5988817321.000000,0.000000,0.000000,0.000000
38,2009,05,0.000000,6267516733.000000,6267516733.000000,0.000000,0.000000,0.000000
39,2009,06,0.000000,5818924182.000000,5818924182.000000,0.000000,0.000000,0.000000
40,2009,07,0.000000,5801646978.000000,5801646978.000000,0.000000,0.000000,0.000000
41,2009,08,0.000000,5790850384.000000,5790850384.000000,0.000000,0.000000,0.000000
42,2009,09,0.000000,4057515768.000000,4057515768.000000,0.000000,0.000000,0.000000
43,2009,10,0.000000,6016107147.000000,6016107147.000000,0.000000,0.000000,0.000000
44,2009,11,0.000000,5768486910.000000,5768486910.000000,0.000000,0.000000,0.000000
45,2009,12,0.000000,5426505977.000000,5426505977.000000,0.000000,0.000000,0.000000
46,2010,01,0.000000,5703465285.000000,5703465285.000000,0.000000,0.000000,0.000000
47,2010,02,0.000000,5762451418.000000,5762451418.000000,0.000000,0.000000,0.000000
48,2010,03,0.000000,6661347946.000000,6661347946.000000,0.000000,0.000000,0.000000
49,2010,04,0.000000,6618552152.000000,6618552152.000000,0.000000,0.000000,0.000000
50,2010,05,0.000000,6410578775.000000,6410578775.000000,0.000000,0.000000,0.000000
51,2010,06,0.000000,4898035014.000000,4898035014.000000,0.000000,0.000000,0.000000
52,2010,07,0.000000,5296177638.000000,5296177638.000000,0.000000,0.000000,0.000000
53,2010,08,0.000000,7381346660.000000,7381346660.000000,0.000000,0.000000,0.000000
54,2010,09,0.000000,7546488744.000000,7546488744.000000,0.000000,0.000000,0.000000
55,2010,10,0.000000,10172844562.000000,10172844562.000000,0.000000,0.000000,0.000000
56,2010,11,0.000000,6948678354.000000,6948678354.000000,0.000000,0.000000,0.000000
57,2010,12,0.000000,7001952100.000000,7001952100.000000,0.000000,0.000000,0.000000
58,2011,01,0.000000,7568511227.000000,7568511227.000000,0.000000,0.000000,0.000000
59,2011,02,0.000000,6906248849.000000,6906248849.000000,0.000000,0.000000,0.000000
60,2011,03,0.000000,7326545928.000000,7326545928.000000,0.000000,0.000000,0.000000
61,2011,04,0.000000,6835492088.000000,6835492088.000000,0.000000,0.000000,0.000000
62,2011,05,0.000000,7009799378.000000,7009799378.000000,0.000000,0.000000,0.000000
63,2011,06,0.000000,6536675534.000000,6536675534.000000,0.000000,0.000000,0.000000
64,2011,07,0.000000,6571730164.000000,6571730164.000000,0.000000,0.000000,0.000000
65,2011,08,0.000000,6514500361.000000,6514500361.000000,0.000000,0.000000,0.000000
66,2011,09,0.000000,5837738935.000000,5837738935.000000,0.000000,0.000000,0.000000
67,2011,10,0.000000,6974424665.000000,6974424665.000000,0.000000,0.000000,0.000000
68,2011,11,0.000000,7507641641.000000,7507641641.000000,0.000000,0.000000,0.000000
69,2011,12,0.000000,6396357939.000000,6396357939.000000,0.000000,0.000000,0.000000
70,2012,01,0.000000,7808477339.000000,7808477339.000000,0.000000,0.000000,0.000000
71,2012,02,0.000000,7530127141.000000,7530127141.000000,0.000000,0.000000,0.000000
72,2012,03,0.000000,7358543625.000000,7358543625.000000,0.000000,0.000000,0.000000
73,2012,04,0.000000,7220029422.000000,7220029422.000000,0.000000,0.000000,0.000000
74,2012,05,0.000000,7784479302.000000,7784479302.000000,0.000000,0.000000,0.000000
75,2012,06,0.000000,7524265988.000000,7524265988.000000,0.000000,0.000000,0.000000
76,2012,07,0.000000,7819376527.000000,7819376527.000000,0.000000,0.000000,0.000000
77,2012,08,0.000000,7885641059.000000,7885641059.000000,0.000000,0.000000,0.000000
78,2012,09,0.000000,7913689733.000000,7913689733.000000,0.000000,0.000000,0.000000
79,2012,10,0.000000,8379960050.000000,8379960050.000000,0.000000,0.000000,0.000000
80,2012,11,0.000000,8219987195.000000,8219987195.000000,0.000000,0.000000,0.000000
81,2012,12,0.000000,8033826900.000000,8033826900.000000,0.000000,0.000000,0.000000
82,2013,01,0.000000,9126210673.000000,9126210673.000000,0.000000,0.000000,0.000000
83,2013,02,0.000000,8100597857.000000,8100597857.000000,0.000000,0.000000,0.000000
84,2013,03,0.000000,8701419671.000000,8701419671.000000,0.000000,0.000000,0.000000
85,2013,04,0.000000,8049296729.000000,8049296729.000000,0.000000,0.000000,0.000000
86,2013,05,0.000000,8089099883.000000,8089099883.000000,0.000000,0.000000,0.000000
87,2013,06,0.000000,7759959725.000000,7759959725.000000,0.000000,0.000000,0.000000
88,2013,07,0.000000,8237301982.000000,8237301982.000000,0.000000,0.000000,0.000000
89,2013,08,0.000000,9306122925.000000,9306122925.000000,0.000000,0.000000,0.000000
90,2013,09,0.000000,9985326806.000000,9985326806.000000,0.000000,0.000000,0.000000
91,2013,10,0.000000,10775158269.000000,10775158269.000000,0.000000,0.000000,0.000000
92,2013,11,0.000000,10414877805.000000,10414877805.000000,0.000000,0.000000,0.000000
93,2013,12,0.000000,7102459747.000000,7102459747.000000,0.000000,0.000000,0.000000
94,2014,01,0.000000,7026531269.000000,7026531269.000000,0.000000,0.000000,0.000000
95,2014,02,0.000000,6718243109.000000,6718243109.000000,0.000000,0.000000,0.000000
96,2014,03,0.000000,7464128273.000000,7464128273.000000,0.000000,0.000000,0.000000
97,2014,04,0.000000,7216245221.000000,7216245221.000000,0.000000,0.000000,0.000000
98,2014,05,0.000000,7543277646.000000,7543277646.000000,0.000000,0.000000,0.000000
99,2014,06,0.000000,6577352648.000000,6577352648.000000,0.000000,0.000000,0.000000
100,2014,07,0.000000,6761059566.000000,6761059566.000000,0.000000,0.000000,0.000000
101,2014,08,0.000000,6687313714.000000,6687313714.000000,0.000000,0.000000,0.000000
102,2014,09,0.000000,7564600999.000000,7564600999.000000,0.000000,0.000000,0.000000
0,2014,10,3091546685.000000,6577533128.000000,9669079813.000000,0.000000,0.000000,0.000000
1,2014,11,3027489668.000000,6153537606.000000,9181027274.000000,0.000000,0.000000,0.000000
2,2014,12,3278950021.000000,5830332248.000000,9109282269.000000,0.000000,0.000000,0.000000
3,2015,01,3485302091.000000,6103767055.000000,9589069146.000000,0.000000,0.000000,0.000000
4,2015,02,3091534479.000000,5602710439.000000,8694244918.000000,0.000000,0.000000,0.000000
5,2015,03,3330832588.000000,6346602713.000000,9677435301.000000,0.000000,0.000000,0.000000
6,2015,04,3222089917.000000,6198945657.000000,9421035574.000000,0.000000,0.000000,0.000000
7,2015,05,3334069483.000000,6323801814.000000,9657871297.000000,0.000000,0.000000,0.000000
8,2015,06,3038162463.000000,5165413640.000000,8203576103.000000,0.000000,0.000000,0.000000
9,2015,07,3254472695.000000,5229226022.000000,8483698717.000000,3288755294.000000,4376666686.000000,7665421980.000000
10,2015,08,3268487582.000000,5035534449.000000,8304022031.000000,3302333038.000000,4332482183.000000,7634815221.000000
11,2015,09,3172429827.000000,5409631355.000000,8582061182.000000,3170203333.000000,4485491704.000000,7655695037.000000
12,2015,10,3246082505.000000,5535704471.000000,8781786976.000000,3268499132.000000,4477532755.000000,7746031887.000000
13,2015,11,3218234512.000000,5296956116.000000,8515190628.000000,3236601070.000000,4287720220.000000,7524321290.000000
14,2015,12,3387411863.000000,5264446173.000000,8651858036.000000,3376275307.000000,4100012037.000000,7476287344.000000
15,2016,01,3739628742.000000,5569632502.000000,9309261244.000000,3717836846.000000,4436179457.000000,8154016303.000000
16,2016,02,3333231392.000000,5347709361.000000,8680940753.000000,3334862272.000000,4250997185.000000,7585859457.000000
17,2016,03,3419853636.000000,5407676056.000000,8827529692.000000,3386684191.000000,4286590426.000000,7673274617.000000
18,2016,04,3301385124.000000,5572235399.000000,8873620523.000000,3258764002.000000,4149383857.000000,7408147859.000000
19,2016,05,3418435805.000000,5330532334.000000,8748968139.000000,3395033236.000000,4191778094.000000,7586811330.000000
20,2016,06,3372618063.000000,4975092447.000000,8347710510.000000,3354790945.000000,3888839711.000000,7243630656.000000
21,2016,07,3500661121.000000,5363966439.000000,8864627560.000000,3496573762.000000,4337865827.000000,7834439589.000000
103,2016,08,0.000000,0.000000,0.000000,3515819303.000000,4695046216.000000,8210865519.000000
104,2016,09,0.000000,0.000000,0.000000,3393285781.000000,4135006498.000000,7528292279.000000
105,2016,10,0.000000,0.000000,0.000000,3509283891.000000,4361737690.000000,7871021581.000000
106,2016,11,0.000000,0.000000,0.000000,3591044925.000000,4392068236.000000,7983113161.000000
107,2016,12,0.000000,0.000000,0.000000,3776543855.000000,4209608578.000000,7986152433.000000
108,2017,01,0.000000,0.000000,0.000000,4231961542.000000,4521980398.000000,8753941940.000000
109,2017,02,0.000000,0.000000,0.000000,3711761399.000000,4026702163.000000,7738463562.000000
110,2017,03,0.000000,0.000000,0.000000,3903493989.000000,4319971902.000000,8223465891.000000
111,2017,04,0.000000,0.000000,0.000000,3639623119.000000,3951456992.000000,7591080111.000000
112,2017,05,0.000000,0.000000,0.000000,3686687720.000000,4187870579.000000,7874558299.000000
113,2017,06,0.000000,0.000000,0.000000,3519383193.000000,3604550997.000000,7123934190.000000
114,2017,07,0.000000,0.000000,0.000000,3725059253.000000,3565444544.000000,7290503797.000000
115,2017,08,0.000000,0.000000,0.000000,3621406302.000000,3575572313.000000,7196978615.000000
116,2017,09,0.000000,0.000000,0.000000,3531604369.000000,3547447892.000000,7079052261.000000
